"","id","Day60","Day62","Day65","Day67","Day70","Day72","Day75","Day77","Day80","Day82","Day85","Day87","Day90","Day92","Day95","Day97","Day100","Day102","Day105","Day107","Day110","Day112","Day115","Day117","Day120","Day122","Day125","Day127","Day130","Day132","Day135","Day137","Day140","Day142","Day145","Day150","Day152","Day155","Day157","Day160","Day162","Day165","Day167","Day170","Day172","Day175","Day177","Day180","Day182","Day185","Day187","Day190","Day192","Day195","Day197","Day200","Day202","Day205","Day207","Day210","Day212","Day215","Day217","Day220","Day222","Day225","Day227","Day229","Day230","Day232","Day235","Day239","Day240","Day242","Day247","Day249","Day250","Day252","Day255","Day257","Day259","Day260","Day262","Day265","Day267","Day270","Day272"
"S2EB16","S2EB16",0.20720000565052,NA,NA,NA,NA,NA,NA,NA,0.292850002646446,NA,NA,NA,NA,0.24294999986887,NA,0.205449998378754,0.226449996232986,NA,NA,0.259299993515015,0.239950001239777,0.371749997138977,NA,0.397149994969368,0.0770500004291534,NA,0.375400006771088,0.439150005578995,0.284099996089935,0.443849995732307,NA,NA,0.241899996995926,0.476999998092651,NA,0.378049999475479,NA,0.463449999690056,0.427249997854233,0.303599998354912,NA,NA,NA,0.151399999856949,NA,NA,NA,0.367400005459785,0.425650000572205,NA,0.421250000596046,0.379649996757507,0.428950011730194,0.393150001764297,0.465099990367889,0.349500000476837,NA,0.364399999380112,0.412000000476837,NA,0.592150002717972,0.360699996352196,NA,0.3488499969244,0.400250002741814,NA,NA,NA,0.317549988627434,0.362250000238419,NA,NA,0.319899991154671,NA,NA,NA,0.226799994707108,NA,0.304750010371208,NA,NA,NA,0.316550001502037,NA,NA,0.296800002455711,0.329899996519089
"S2EB17","S2EB17",0.190549999475479,NA,NA,NA,NA,NA,NA,NA,0.26970000565052,NA,NA,NA,NA,0.255599990487099,NA,0.193099997937679,0.24719999730587,NA,NA,0.256149992346764,0.2483000010252,0.333650007843971,NA,0.345899999141693,0.078099999576807,NA,0.381349995732307,0.388050004839897,0.332750007510185,0.449299991130829,NA,NA,0.257400006055832,0.463899999856949,NA,0.355149999260902,NA,0.488049998879433,0.34825000166893,0.421049997210503,NA,NA,NA,0.131999999284744,NA,NA,NA,0.344999998807907,0.394850000739098,NA,0.401800006628036,0.358000010251999,0.384900003671646,0.373499989509583,0.430600002408028,0.352849990129471,NA,0.348649993538857,0.26264999806881,NA,0.389149993658066,0.352049991488457,NA,0.287149995565414,0.355199992656708,NA,NA,NA,0.329049989581108,0.351600006222725,NA,NA,0.309900000691414,NA,NA,NA,0.26129999756813,NA,0.277500003576279,NA,NA,NA,0.29535000026226,NA,NA,0.216250002384186,0.201150000095367
"S2EB18","S2EB18",0.199500001966953,NA,NA,NA,NA,NA,NA,NA,0.279649987816811,NA,NA,NA,NA,0.217650003731251,NA,0.188400000333786,0.261649996042252,NA,NA,0.231449998915195,0.260099992156029,0.377900004386902,NA,0.381149992346764,0.0824500024318695,NA,0.381599992513657,0.414350003004074,0.351299986243248,0.450000002980232,NA,NA,0.235449999570847,0.481800004839897,NA,0.369699999690056,NA,0.483449995517731,0.455099999904633,0.403600007295609,NA,NA,NA,0.161300003528595,NA,0.496500000357628,NA,0.362800002098083,0.403149992227554,NA,0.409950003027916,0.379899993538857,0.431949988007545,0.384950011968613,0.455899998545647,0.358500003814697,NA,0.362499997019768,0.143399998545647,NA,0.454549998044968,0.34765000641346,NA,0.35079999268055,0.368950009346008,NA,NA,NA,0.322800010442734,0.360049992799759,NA,NA,0.306600004434586,NA,NA,NA,0.21875,NA,0.29839999973774,NA,NA,NA,0.322849988937378,NA,NA,0.296650007367134,0.309900000691414
"S2EB19","S2EB19",0.196450002491474,NA,NA,NA,NA,NA,NA,NA,0.266550004482269,NA,NA,NA,NA,0.27929998934269,NA,0.212349995970726,0.352649986743927,NA,NA,0.124049998819828,0.274800002574921,0.347049996256828,NA,0.350900009274483,0.0744500011205673,NA,0.390650004148483,0.402450010180473,0.345550000667572,0.493000000715256,NA,NA,0.205550000071526,0.464600011706352,NA,0.363999992609024,NA,0.485049992799759,0.442300006747246,0.430050000548363,NA,NA,NA,0.348700001835823,NA,0.541700005531311,NA,0.3386500030756,0.437150001525879,NA,0.434550002217293,0.365649998188019,0.308249995112419,0.37270000576973,0.442699998617172,0.342600002884865,NA,0.368650004267693,0.189499996602535,NA,0.436550006270409,0.359099999070168,NA,0.340450003743172,0.392850011587143,NA,NA,NA,0.34315000474453,0.361900001764297,NA,NA,0.340649992227554,NA,NA,NA,0.250849992036819,NA,0.258149996399879,NA,NA,NA,0.29619999229908,NA,NA,0.325100004673004,0.375699996948242
"S2EB20","S2EB20",0.17850000411272,NA,NA,NA,NA,NA,NA,NA,0.250950008630753,NA,NA,NA,NA,0.22664999961853,NA,0.164500005543232,0.223799996078014,NA,NA,0.0644499994814396,0.244800001382828,0.313850000500679,NA,0.332650005817413,0.0770500004291534,NA,0.339550003409386,0.352599993348122,0.399149999022484,0.403350010514259,NA,0.638150006532669,0.203900001943111,0.42595000565052,NA,0.348949998617172,NA,0.441050007939339,0.153549998998642,0.374049991369247,NA,NA,NA,0.418349996209145,NA,NA,NA,0.335099995136261,0.369300007820129,NA,0.359000012278557,0.357649996876717,0.339900001883507,0.351800009608269,0.412050008773804,0.316449999809265,NA,0.334099993109703,0.208200000226498,NA,NA,0.317900002002716,NA,0.305749997496605,0.297450006008148,NA,NA,NA,0.287600010633469,0.303849995136261,NA,NA,0.300249993801117,NA,NA,NA,0.180749997496605,NA,0.242249995470047,NA,NA,NA,0.249799996614456,NA,NA,0.19455000013113,0.263499990105629
"S2EB21","S2EB21",0.211649999022484,NA,NA,NA,NA,NA,NA,NA,0.333000004291534,NA,NA,NA,NA,0.255250006914139,NA,0.208650000393391,0.188050001859665,NA,NA,0.0731000006198883,0.243700005114079,0.356100007891655,NA,0.367850005626678,0.0837999992072582,NA,0.397149994969368,0.42315000295639,0.394000008702278,0.482200011610985,NA,NA,0.230549998581409,0.472449988126755,NA,0.394099995493889,NA,0.504749983549118,0.202200002968311,0.444649994373322,NA,NA,NA,0.473600000143051,NA,NA,NA,0.374549999833107,0.406749993562698,NA,0.390650004148483,0.398999989032745,0.411849990487099,0.402599990367889,0.458650007843971,0.353699997067451,NA,0.38484999537468,0.121300000697374,NA,NA,0.378849998116493,NA,0.346599996089935,0.380499988794327,NA,NA,NA,0.346949994564056,0.390049993991852,NA,NA,0.337799996137619,NA,NA,NA,0.191749997437,NA,0.319399997591972,NA,NA,NA,0.341750010848045,NA,NA,0.309300005435944,0.384899988770485
"S2EB24","S2EB24",0.215399995446205,NA,NA,NA,NA,NA,NA,NA,0.321549996733665,NA,NA,NA,NA,0.228999994695187,NA,0.203050002455711,0.230949997901917,NA,NA,0.274449989199638,0.314400002360344,0.443300008773804,NA,0.499449998140335,0.552749991416931,NA,0.421500012278557,0.51350000500679,0.421049997210503,0.529699981212616,NA,NA,0.572750002145767,0.510900020599365,NA,0.458000004291534,0.366300001740456,0.484099999070168,0.52649998664856,0.45584999024868,NA,NA,NA,NA,NA,NA,NA,0.435650005936623,0.466049998998642,NA,0.445050001144409,0.500649988651276,NA,0.412850007414818,0.530349999666214,0.403599992394447,NA,0.406199991703033,0.484249994158745,NA,0.467999994754791,0.454499989748001,0.537400007247925,0.420150011777878,0.428949996829033,NA,NA,NA,0.359999999403954,0.421749994158745,NA,NA,0.0952499993145466,NA,NA,NA,0.447200000286102,NA,0.321600005030632,NA,NA,NA,0.361100003123283,NA,NA,0.31784999370575,0.343900009989738
"S2EB25","S2EB25",0.185150004923344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188900001347065,NA,0.184650003910065,0.237800002098083,NA,NA,0.222449995577335,0.260300010442734,0.405049994587898,NA,0.462449997663498,0.503850013017654,NA,0.392099991440773,0.435000002384186,0.564900010824203,0.483899995684624,NA,NA,0.486749991774559,0.488049998879433,NA,0.387549996376038,0.490600004792213,0.459649994969368,0.465199992060661,0.154950000345707,NA,NA,NA,NA,NA,NA,NA,0.405849993228912,0.450699999928474,NA,0.438299998641014,0.458550006151199,NA,0.396450012922287,0.473149999976158,0.39190000295639,NA,0.410800009965897,0.468699991703033,NA,0.459600001573563,0.538800001144409,0.560900002717972,0.395349994301796,0.428049996495247,NA,NA,NA,0.363800004124641,0.401500001549721,NA,NA,0.157000005245209,NA,NA,NA,0.421149998903275,NA,0.310000002384186,NA,NA,NA,0.362250000238419,NA,NA,0.325550004839897,0.320999994874001
"S2FA09","S2FA09",0.186100006103516,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11599999666214,NA,NA,0.309700012207031,NA,0.170100003480911,NA,0.192900002002716,NA,NA,0.268099993467331,0.131600007414818,NA,NA,NA,NA,0.348800003528595,0.376599997282028,0.521700024604797,0.320100009441376,NA,NA,0.248600006103516,0.418799996376038,NA,0.367300003767014,0.487100005149841,0.424899995326996,0.417600005865097,0.400000005960464,NA,0.263399988412857,NA,NA,NA,NA,NA,0.34400001168251,0.380299985408783,NA,0.410299986600876,NA,NA,0.104599997401237,0.42399999499321,0.324000000953674,NA,0.356900006532669,0.598900020122528,NA,0.3817999958992,0.335099995136261,0.330399990081787,0.316900014877319,0.349599987268448,NA,NA,NA,0.293999999761581,0.345499992370605,0.358799993991852,NA,0.292600005865097,NA,NA,NA,NA,NA,0.264999985694885,NA,NA,NA,0.296499997377396,NA,0.346100002527237,0.233999997377396,0.306100010871887
"S2FA13","S2FA13",0.242799997329712,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113499999046326,NA,NA,0.27700001001358,NA,0.214900001883507,NA,0.237000003457069,NA,0.317600011825562,0.291599988937378,0.143500000238419,NA,NA,NA,NA,0.378899991512299,0.418900012969971,0.590799987316132,0.155799999833107,NA,NA,0.23479999601841,0.458299994468689,NA,0.408800005912781,0.54040002822876,0.465499997138977,0.44650000333786,0.219099998474121,NA,0.263300001621246,NA,NA,NA,NA,NA,0.374500006437302,0.430099993944168,NA,0.442900002002716,0.491200000047684,NA,0.0825999975204468,0.450199991464615,0.356700003147125,NA,0.390399992465973,0.686100006103516,NA,0.415399998426437,0.37169998884201,0.433999985456467,0.351099997758865,0.379799991846085,NA,NA,NA,0.334300011396408,0.379900008440018,0.368099987506866,NA,0.346500009298325,NA,NA,NA,NA,NA,0.323100000619888,NA,NA,NA,0.333099991083145,NA,0.239099994301796,0.313300013542175,0.340999990701675
