"","id","Day60","Day62","Day65","Day67","Day70","Day72","Day75","Day77","Day80","Day82","Day85","Day87","Day90","Day92","Day95","Day97","Day100","Day102","Day105","Day107","Day110","Day112","Day115","Day117","Day120","Day122","Day125","Day127","Day130","Day132","Day135","Day137","Day140","Day142","Day145","Day150","Day152","Day155","Day157","Day160","Day162","Day165","Day167","Day170","Day172","Day175","Day177","Day180","Day182","Day185","Day187","Day190","Day192","Day195","Day197","Day200","Day202","Day205","Day207","Day210","Day212","Day215","Day217","Day220","Day222","Day225","Day227","Day229","Day230","Day232","Day235","Day239","Day240","Day242","Day247","Day249","Day250","Day252","Day255","Day257","Day259","Day260","Day262","Day265","Day267","Day270","Day272"
"S2EB16","S2EB16",0.117599997669458,NA,NA,NA,NA,NA,NA,NA,0.103000000119209,NA,NA,NA,NA,0.220749996602535,NA,0.239500001072884,0.248450003564358,NA,NA,0.249949999153614,0.165649995207787,0.176749996840954,NA,0.155649997293949,0.0200499994680285,NA,0.148550003767014,0.172200001776218,0.12050000205636,0.187600001692772,NA,NA,0.08135000243783,0.198100000619888,NA,0.160099998116493,NA,0.292049989104271,0.189300000667572,0.118850000202656,NA,NA,NA,0.0548000000417233,NA,NA,NA,0.155550003051758,0.183050006628036,NA,0.184250004589558,0.158699996769428,0.23649999499321,0.164049997925758,0.203100003302097,0.153650000691414,NA,0.156700000166893,0.201300002634525,NA,0.50560000538826,0.158399999141693,NA,0.159049995243549,0.174699999392033,NA,NA,NA,0.148749999701977,0.177349999547005,NA,NA,0.137149997055531,NA,NA,NA,0.0980999991297722,NA,0.140850000083447,NA,NA,NA,0.16780000180006,NA,NA,0.142799995839596,0.154700003564358
"S2EB17","S2EB17",0.109949998557568,NA,NA,NA,NA,NA,NA,NA,0.110999997705221,NA,NA,NA,NA,0.235850006341934,NA,0.211600005626678,0.220849998295307,NA,NA,0.234899997711182,0.155949994921684,0.172700002789497,NA,0.149849995970726,0.0212499992921948,NA,0.147450000047684,0.164200000464916,0.169650003314018,0.181099995970726,NA,NA,0.0878999978303909,0.193199999630451,NA,0.151600003242493,NA,0.195100001990795,0.144600003957748,0.173849999904633,NA,NA,NA,0.0450500007718801,NA,NA,NA,0.150550000369549,0.177749998867512,NA,0.173749998211861,0.153849996626377,0.21085000038147,0.160599999129772,0.193300001323223,0.151100002229214,NA,0.160250000655651,0.1106499992311,NA,0.362649992108345,0.159149996936321,NA,0.139449998736382,0.166899994015694,NA,NA,NA,0.140850000083447,0.172549992799759,NA,NA,0.14214999973774,NA,NA,NA,0.115699999034405,NA,0.139899998903275,NA,NA,NA,0.16075000166893,NA,NA,0.112900000065565,0.126850001513958
"S2EB18","S2EB18",0.112849999219179,NA,NA,NA,NA,NA,NA,NA,0.109700001776218,NA,NA,NA,NA,0.212449997663498,NA,0.229699999094009,0.242550000548363,NA,NA,0.216299995779991,0.157999999821186,0.178649999201298,NA,0.145150005817413,0.0208499999716878,NA,0.141699999570847,0.156649999320507,0.175300002098083,0.182350002229214,NA,NA,0.0741499997675419,0.186949998140335,NA,0.150550000369549,NA,0.189300000667572,0.186599999666214,0.151599995791912,NA,NA,NA,0.0465500000864267,NA,0.306649997830391,NA,0.149300001561642,0.171399995684624,NA,0.167950004339218,0.154950000345707,0.266299992799759,0.158749997615814,0.188199996948242,0.145149998366833,NA,0.149549998342991,0.060249999165535,NA,0.365099996328354,0.151000000536442,NA,0.15344999730587,0.160899996757507,NA,NA,NA,0.137850001454353,0.164650000631809,NA,NA,0.134199999272823,NA,NA,NA,0.0898999981582165,NA,0.138049997389317,NA,NA,NA,0.158100001513958,NA,NA,0.145300000905991,0.158349998295307
"S2EB19","S2EB19",0.11259999871254,NA,NA,NA,NA,NA,NA,NA,0.111200001090765,NA,NA,NA,NA,0.263300001621246,NA,0.222999997437,0.337699994444847,NA,NA,0.0948000028729439,0.166400000452995,0.191249996423721,NA,0.158399999141693,0.0206000003963709,NA,0.15650000423193,0.176449999213219,0.160449996590614,0.201449997723103,NA,NA,0.0695999972522259,0.206849999725819,NA,0.150550000369549,NA,0.210900001227856,0.201399996876717,0.176049999892712,NA,NA,NA,0.134900003671646,NA,0.326800003647804,NA,0.152900002896786,0.199649997055531,NA,0.187349997460842,0.163549996912479,0.133799999952316,0.160549998283386,0.20244999974966,0.154100000858307,NA,0.168350003659725,0.0839499980211258,NA,0.206550002098083,0.162900000810623,NA,0.166000001132488,0.187600001692772,NA,NA,NA,0.153650000691414,0.173950001597404,NA,NA,0.152499996125698,NA,NA,NA,0.1089500002563,NA,0.138149999082088,NA,NA,NA,0.164849996566772,NA,NA,0.187450006604195,0.206500001251698
"S2EB20","S2EB20",0.103399999439716,NA,NA,NA,NA,NA,NA,NA,0.0974499993026257,NA,NA,NA,NA,0.212799996137619,NA,0.191749997437,0.23394999653101,NA,NA,0.0425499994307756,0.145849995315075,0.162899993360043,NA,0.139750003814697,0.0232499996200204,NA,0.141850002110004,0.152200005948544,0.246499992907047,0.16159999370575,NA,0.340299993753433,0.073149997740984,0.182700000703335,NA,0.150399997830391,NA,0.18469999730587,0.0484500005841255,0.157200001180172,NA,NA,NA,0.182199999690056,NA,NA,NA,0.148450002074242,0.176299996674061,NA,0.167499996721745,0.158900000154972,0.163400001823902,0.154749996960163,0.190949998795986,0.151050001382828,NA,0.15174999833107,0.0943999998271465,NA,NA,0.142549999058247,NA,0.148400001227856,0.157799996435642,NA,NA,NA,0.14299999922514,0.152249999344349,NA,NA,0.140149995684624,NA,NA,NA,0.0755500011146069,NA,0.123500000685453,NA,NA,NA,0.141599997878075,NA,NA,0.113549999892712,0.145950004458427
"S2EB21","S2EB21",0.128700003027916,NA,NA,NA,NA,NA,NA,NA,0.124649997800589,NA,NA,NA,NA,0.243999995291233,NA,0.24015000462532,0.196350000798702,NA,NA,0.0469499994069338,0.167599998414516,0.199099995195866,NA,0.164849996566772,0.0234999991953373,NA,0.158649995923042,0.172849997878075,0.213849999010563,0.188400000333786,NA,NA,0.0755000002682209,0.187900006771088,NA,0.162399999797344,NA,0.19820000231266,0.065650001168251,0.185600005090237,NA,NA,NA,0.196099996566772,NA,NA,NA,0.161250002682209,0.185850001871586,NA,0.171250000596046,0.166600003838539,0.216099999845028,0.168449997901917,0.208849996328354,0.158100001513958,NA,0.163949996232986,0.0645500011742115,NA,NA,0.164200000464916,NA,0.16609999537468,0.183200001716614,NA,NA,NA,0.1528500020504,0.191200003027916,NA,NA,0.148900002241135,NA,NA,NA,0.0694000013172626,NA,0.158400006592274,NA,NA,NA,0.177699998021126,NA,NA,0.170800000429153,0.198850005865097
"S2EB24","S2EB24",0.113749999552965,NA,NA,NA,NA,NA,NA,NA,0.115549996495247,NA,NA,NA,NA,0.213249996304512,NA,0.24379999935627,0.252450004220009,NA,NA,0.2179000005126,0.163400001823902,0.204750001430511,NA,0.192100003361702,0.191600002348423,NA,0.152899995446205,0.192500002682209,0.208999998867512,0.206999994814396,NA,NA,0.210650004446507,0.19709999859333,NA,0.180950000882149,0.168949998915195,0.189999997615814,0.215199999511242,0.168299995362759,NA,NA,NA,NA,NA,NA,NA,0.182050004601479,0.194650001823902,NA,0.181350000202656,0.200800001621246,NA,0.17060000449419,0.223949998617172,0.170050002634525,NA,0.172949999570847,0.208750002086163,NA,0.21424999833107,0.305100008845329,0.419850006699562,0.182100005447865,0.189549997448921,NA,NA,NA,0.163249999284744,0.190799996256828,NA,NA,0.029250000603497,NA,NA,NA,0.249549999833107,NA,0.157449997961521,NA,NA,NA,0.195050001144409,NA,NA,0.176100000739098,0.187849998474121
"S2EB25","S2EB25",0.100400000810623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169649995863438,NA,0.210349999368191,0.253000006079674,NA,NA,0.203500002622604,0.148850001394749,0.193399995565414,NA,0.182050004601479,0.173649996519089,NA,0.150200001895428,0.183399997651577,0.313749998807907,0.203699998557568,NA,NA,0.195799998939037,0.193999998271465,NA,0.169449999928474,0.290749996900558,0.183650001883507,0.210950002074242,0.0495999995619059,NA,NA,NA,NA,NA,NA,NA,0.173649996519089,0.192999996244907,NA,0.20099999755621,0.186849996447563,NA,0.160999998450279,0.216150000691414,0.159699998795986,NA,0.168750002980232,0.211150005459785,NA,0.202100001275539,0.419249996542931,0.490549996495247,0.171399995684624,0.178999997675419,NA,NA,NA,0.154399998486042,0.180149994790554,NA,NA,0.0603000000119209,NA,NA,NA,0.199500001966953,NA,0.141099996864796,NA,NA,NA,0.172650001943111,NA,NA,0.147450000047684,0.160900004208088
"S2FA09","S2FA09",0.0879999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0816000029444695,NA,NA,0.298200011253357,NA,0.197200000286102,NA,0.214300006628036,NA,NA,0.13400000333786,0.0478999987244606,NA,NA,NA,NA,0.133799999952316,0.156800001859665,0.296200007200241,0.124499998986721,NA,NA,0.0992999970912933,0.183899998664856,NA,0.158199995756149,0.28659999370575,0.173899993300438,0.184300005435944,0.18639999628067,NA,0.117700003087521,NA,NA,NA,NA,NA,0.151800006628036,0.177000001072884,NA,0.191899999976158,NA,NA,0.0318000018596649,0.18529999256134,0.145400002598763,NA,0.162900000810623,0.545499980449677,NA,0.18129999935627,0.149299994111061,0.157199993729591,0.150000005960464,0.161699995398521,NA,NA,NA,0.130400002002716,0.163200005888939,0.171100005507469,NA,0.136700004339218,NA,NA,NA,NA,NA,0.12389999628067,NA,NA,NA,0.152600005269051,NA,0.192800000309944,0.11259999871254,0.139799997210503
"S2FA13","S2FA13",0.101599998772144,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0786999985575676,NA,NA,0.262600004673004,NA,0.250699996948242,NA,0.262499988079071,NA,0.297699987888336,0.155799999833107,0.0513000003993511,NA,NA,NA,NA,0.152799993753433,0.171399995684624,0.445499986410141,0.045499999076128,NA,NA,0.0842000022530556,0.193000003695488,NA,0.168099999427795,0.329100012779236,0.184900000691414,0.19310000538826,0.0907000005245209,NA,0.107799999415874,NA,NA,NA,NA,NA,0.160099998116493,0.186700001358986,NA,0.19879999756813,0.208800002932549,NA,0.0243999995291233,0.196199998259544,0.159999996423721,NA,0.177499994635582,0.669900000095367,NA,0.196299999952316,0.168200001120567,0.202800005674362,0.16609999537468,0.177499994635582,NA,NA,NA,0.154599994421005,0.178000003099442,0.17399999499321,NA,0.164100006222725,NA,NA,NA,NA,NA,0.148399993777275,NA,NA,NA,0.180099993944168,NA,0.101199999451637,0.152799993753433,0.166800007224083
